Team,Year,Player Name,,,Team,Year,Player Name
Australia,2017,David Warner,,,,,Clayton Lambert
Australia,2017,Aaron Finch,,,,,Clint McKay
Australia,2017,Travis Head,,,,,Colin de Grandhomme
Australia,2017,Chris Lynn,,,,,Colin Ingram
Australia,2017,Matthew Wade,,,,,Colin Munro
Australia,2017,John Hastings,,,,,Colin Stuart
Australia,2017,Moises Henriques,,,,,Collins Obuya
Australia,2017,Glenn Maxwell,,,,,Cooper Connolly
Australia,2017,Marcus Stoinis,,,,,Corbin Bosch
Australia,2017,Pat Cummins,,,,,Corey Anderson
Australia,2017,Josh Hazlewood,,,,,Corey Collymore
Australia,2017,James Pattinson,,,,,Courtney Browne
Australia,2017,Mitchell Starc,,,,,Craig Evans
Australia,2017,Adam Zampa,,,,,Craig McMillan
Australia,2025,Steven Smith,,,,,Craig Spearman
Australia,2025,Alex Carey,,,,,Craig White
Australia,2025,Jake Fraser-McGurk,,,,,Craig Wishart
Australia,2025,Travis Head,,,,,Daan van Bunge
Australia,2025,Josh Inglish,,,,,Dale Benkenstein
Australia,2025,Marnus Labuschagne,,,,,Dale Richards
Australia,2025,Sean Abbott,,,,,Dale Steyn
Australia,2025,Cooper Connolly,,,,,Damien Fleming
Australia,2025,Aaron Hardie,,,,,Damien Martyn
Australia,2025,Glenn Maxwell,,,,,Daniel Vettori
Australia,2025,Ben Dwarshuis,,,,,Danushka Gunathilaka
Australia,2025,Nathan Ellis,,,,,Daren Sammy
Australia,2025,Spencer Johnson,,,,,Darren Bravo
Australia,2025,Tanveer Sangha,,,,,Darren Gough
Australia,2025,Adam Zampa,,,,,Darren Lehmann
Bangladesh,2000,Akram Khan,,,,,Daryl Mitchell
Bangladesh,2000,Al Sahariar,,,,,Daryl Tuffey
Bangladesh,2000,Aminul Islam,,,,,Daryll Cullinan
Bangladesh,2000,Habibul Bashar,,,,,David Bernard
Bangladesh,2000,Javed Omer,,,,,David Hussey
Bangladesh,2000,Khaled Mashud,,,,,David Miller
Bangladesh,2000,Naimur Rahman,,,,,David Obuya
Bangladesh,2000,Mohammad Rafique,,,,,David Warner
Bangladesh,2000,Enamul Haque,,,,,David Willey
Bangladesh,2000,Hasibul Hossain,,,,,Denesh Ramdin
Bangladesh,2000,Manjurul Islam,,,,,Derek Crookes
Bangladesh,2000,Mushfiqur Rahman,,,,,Devon Conway
Bangladesh,2000,Ranjan Das,,,,,Devon Smith
Bangladesh,2000,Shahriar Hossain,,,,,Dhammika Prasad
Bangladesh,2002,Javed Omer,,,,,Dhananjaya de Silva
Bangladesh,2002,Al Sahariar,,,,,Dilhara Fernando
Bangladesh,2002,Habibul Bashar,,,,,Dilhara Lokuhettige
Bangladesh,2002,Mazharul Haque,,,,,Dinesh Chandimal
Bangladesh,2002,Tushar Imran,,,,,Dinesh Karthik
Bangladesh,2002,Khaled Mashud,,,,,Dinesh Mongia
Bangladesh,2002,Alok Kapali,,,,,Dion Ebrahim
Bangladesh,2002,Khaled Mahmud,,,,,Dion Nash
Bangladesh,2002,Mohammad Rafique,,,,,Dirk Viljoen
Bangladesh,2002,Tapash Baisya,,,,,Dominic Cork
Bangladesh,2002,Manjurul Islam,,,,,Donovam Blake
Bangladesh,2002,Mohammad Ashraful,,,,,Doug Bollinger
Bangladesh,2002,Fahim Muntasir,,,,,Doug Bracewell
Bangladesh,2002,Talha Jubair,,,,,Dougie Marillier
Bangladesh,2004,Javed Omer,,,,,Douglas Hondo
Bangladesh,2004,Mohammad Ashraful,,,,,Dwaine Pretorius
Bangladesh,2004,Nafees Iqbal,,,,,Dwayne Bravo
Bangladesh,2004,Rajin Saleh,,,,,Dwayne Smith
Bangladesh,2004,Aftab Ahmed,,,,,Ed Rainsford
Bangladesh,2004,Khaled Mahmud,,,,,Edgar Schiferli
Bangladesh,2004,Khaled Mashud,,,,,Ehsan Adil
Bangladesh,2004,Manzarul Islam,,,,,Elton Chigumbura
Bangladesh,2004,Mushfiqur Rahman,,,,,Enamul Haque
Bangladesh,2004,Mohammad Rafique,,,,,Eoin Morgan
Bangladesh,2004,Tapash Baisya,,,,,Eric Upashantha
Bangladesh,2004,Nazmul Hossain,,,,,Faf du Plessis
Bangladesh,2006,Shahriar Nafees,,,,,Faheem Ashraf
Bangladesh,2006,Mohammad Ashraful,,,,,Fahim Muntasir
Bangladesh,2006,Rajin Saleh,,,,,Faisal Iqbal
Bangladesh,2006,Aftab Ahmed,,,,,Fakhar Zaman
Bangladesh,2006,Shakib Al Hasan,,,,,Fareed Ahmad
Bangladesh,2006,Habibul Bashar,,,,,Farhaan Behardien
Bangladesh,2006,Mehrab Hossain jnr,,,,,Farhad Reza
Bangladesh,2006,Farhad Reza,,,,,Farveez Maharoof
Bangladesh,2006,Khaled Mashud,,,,,Fawad Alam
Bangladesh,2006,Mohammad Rafique,,,,,Fazalhaq Farooqi
Bangladesh,2006,Mashrafe Mortaza,,,,,Feiko Kloppenburg
Bangladesh,2006,Abdur Razzak,,,,,Fidel Edwards
Bangladesh,2006,Syed Rasel,,,,,Floyd Reifer
Bangladesh,2017,Imrul Kayes,,,,,Gareth Hopkins
Bangladesh,2017,Mosaddek Hossain,,,,,Gary Kirsten
Bangladesh,2017,Mushfiqur Rahim,,,,,Gautam Gambhir
Bangladesh,2017,Sabbir Rahman,,,,,Gavin Rennie
Bangladesh,2017,Tamim Iqbal,,,,,Gavin Tonge
Bangladesh,2017,Mahmudullah,,,,,Geoff Allott
Bangladesh,2017,Mehidy Hasan Miraz,,,,,George Bailey
Bangladesh,2017,Shakib Al Hasan,,,,,Geraint Jones
Bangladesh,2017,Soumya Sarkar,,,,,Glen Sulzberger
Bangladesh,2017,Mashrafe Mortaza,,,,,Glenn Maxwell
Bangladesh,2017,Mustafizur Rahman,,,,,Glenn McGrath
Bangladesh,2017,Rubel Hossain,,,,,Glenn Phillips
Bangladesh,2017,Shafiul Islam,,,,,Graeme Hick
Bangladesh,2017,Sunzamul Islam,,,,,Graeme Smith
Bangladesh,2017,Taskin Ahmed,,,,,Graeme Swann
Bangladesh,2025,Najmul Hossain Shanto,,,,,Graham Lloyd
Bangladesh,2025,Jaker Ali,,,,,Graham Onions
Bangladesh,2025,Mushfiqur Rahim,,,,,Graham Thorpe
Bangladesh,2025,Parvez Hossain Emon,,,,,Grant Elliott
Bangladesh,2025,Tanzid Hasan,,,,,Grant Flower
Bangladesh,2025,Towhid Hridoy,,,,,Gulbadin Naib
Bangladesh,2025,Mahmudullah,,,,,Gus Atkinson
Bangladesh,2025,Mehidy Hasan Miraz,,,,,Guy Whittall
Bangladesh,2025,Nasum Ahmed,,,,,Habibul Bashar
Bangladesh,2025,Rishad Hossain,,,,,Hamilton Masakadza
Bangladesh,2025,Soumya Sarkar,,,,,Hamish Marshall
Bangladesh,2025,Tanzim Hasan Sakib,,,,,Hansie Cronje
Bangladesh,2025,Mustafizur Rahman,,,,,Harbhajan Singh
Bangladesh,2025,Nahid Rana,,,,,Hardik Pandya
Bangladesh,2025,Taskin Ahmed,,,,,Haris Rauf
England,1998,Nick Knight,,,,,Haris Sohail
England,1998,Ali Brown,,,,,Harry Brook
England,1998,Mark Ealham,,,,,Harshit Rana
England,1998,Graeme Hick,,,,,Hasan Ali
England,1998,Neil Fairbrother,,,,,Hashim Amla
England,1998,Graham Lloyd,,,,,Hashmatullah Shahidi
England,1998,Adam Hollioake,,,,,Hasibul Hossain
England,1998,Jack Russell,,,,,Heath Streak
England,1998,Ashley Giles,,,,,Heinrich Klaasen
England,1998,Peter Martin,,,,,Hemang Badani
England,1998,Ian Austin,,,,,Henk-Jan Mol
England,2000,Nasser Hussain,,,,,Henry Olonga
England,2000,Graeme Hick,,,,,Herschelle Gibbs
England,2000,Vikram Solanki,,,,,Hitesh Modi
England,2000,Alec Stewart,,,,,Howard Johnson
England,2000,Graham Thorpe,,,,,Iain O'Brien
England,2000,Marcus Trescothick,,,,,Ian Austin
England,2000,Mark Ealham,,,,,Ian Bell
England,2000,Andrew Flintoff,,,,,Ian Blackwell
England,2000,Craig White,,,,,Ian Bradshaw
England,2000,Andy Caddick,,,,,Ian Butler
England,2000,Ashley Giles,,,,,Ian Harvey
England,2000,Darren Gough,,,,,Ibrahim Zadran
England,2000,Matthew Hoggard,,,,,Iftikhar Anjum
England,2000,Mark Alleyne,,,,,Ijaz Ahmed
England,2000,Paul Grayson,,,,,Ikram Alikhil
England,2002,Marcus Trescothick,,,,,Imad Wasim
England,2002,Nick Knight,,,,,Imam-ul-Haq
England,2002,Nasser Hussain,,,,,Imran Farhat
England,2002,Ronnie Irani,,,,,Imran Nazir
England,2002,Ashley Giles,,,,,Imran Tahir
England,2002,Ian Blackwell,,,,,Imrul Kayes
England,2002,Owais Shah,,,,,Inzamam-ul-Haq
England,2002,Alec Stewart,,,,,Irfan Pathan
England,2002,Dominic Cork,,,,,Ishant Sharma
England,2002,Jeremy Snape,,,,,Jack Russell
England,2002,Andy Caddick,,,,,Jacob Duffy
England,2002,Matthew Hoggard,,,,,Jacob Oram
England,2004,Marcus Trescothick,,,,,Jacob-Jan Esmeijer
England,2004,Vikram Solanki,,,,,Jacques Kallis
England,2004,Michael Vaughan,,,,,Jacques Rudolph
England,2004,Andrew Strauss,,,,,Jake Ball
England,2004,Andrew Flintoff,,,,,Jake Fraser-McGurk
England,2004,Paul Collingwood,,,,,Jaker Ali
England,2004,Geraint Jones,,,,,James Anderson
England,2004,Ashley Giles,,,,,James Faulkner
England,2004,Alex Wharf,,,,,James Franklin
England,2004,Darren Gough,,,,,James Hopes
England,2004,Steve Harmison,,,,,James Neesham
England,2006,Andrew Strauss,,,,,James Pattinson
England,2006,Ian Bell,,,,,James Tredwell
England,2006,Andrew Flintoff,,,,,Jamie Dalrymple
England,2006,Michael Yardy,,,,,Jamie Overton
England,2006,Kevin Pietersen,,,,,Jamie Smith
England,2006,Paul Collingwood,,,,,Jason Gillespie
England,2006,Jamie Dalrymple,,,,,Jason Holder
England,2006,Jon Lewis,,,,,Jason Roy
England,2006,Chris Read,,,,,Jasprit Bumrah
England,2006,Sajid Mahmood,,,,,Javagal Srinath
England,2006,Steve Harmison,,,,,Javed Omer
England,2006,James Anderson,,,,,Jean-Paul Duminy
England,2009,Andrew Strauss,,,,,Jeetan Patel
England,2009,Steven Davies,,,,,Jeevan Mendis
England,2009,Joe Denly,,,,,Jeremy Snape
England,2009,Eoin Morgan,,,,,Jerome Taylor
England,2009,Owais Shah,,,,,Jignesh Desai
England,2009,Luke Wright,,,,,Jimmy Adams
England,2009,Ravi Bopara,,,,,Jimmy Kamande
England,2009,Tim Bresnan,,,,,Jimmy Maher
England,2009,Paul Collingwood,,,,,Joe Denly
England,2009,James Anderson,,,,,Joe Root
England,2009,Stuart Broad,,,,,Jofra Archer
England,2009,Graham Onions,,,,,Johan Botha
England,2009,Adil Rashid,,,,,John Hastings
England,2009,Ryan Sidebottom,,,,,Johnson Charles
England,2009,Graeme Swann,,,,,Jon Lewis
England,2013,Alastair Cook,,,,,Jonathan Trott
England,2013,Jonny Bairstow,,,,,Jonny Bairstow
England,2013,Ian Bell,,,,,Jonty Rhodes
England,2013,Jos Buttler,,,,,Jos Buttler
England,2013,Eoin Morgan,,,,,Joseph Angara
England,2013,Joe Root,,,,,Josephat Ababu
England,2013,Jonathan Trott,,,,,Josh Hazlewood
England,2013,Ravi Bopara,,,,,Josh Inglish
England,2013,Tim Bresnan,,,,,Junaid Khan
England,2013,James Tredwell,,,,,Justin Kemp
England,2013,Chris Woakes,,,,,Justin Ontong
England,2013,James Anderson,,,,,Kagiso Rabada
England,2013,Stuart Broad,,,,,Kamran Akmal
England,2013,Steven Finn,,,,,Kamran Ghulam
England,2013,Graeme Swann,,,,,Kane Williamson
England,2017,Eoin Morgan,,,,,Kedar Jadhav
England,2017,Jonny Bairstow,,,,,Keith Arthurton
England,2017,Sam Billings,,,,,Kemar Roach
England,2017,Jos Buttler,,,,,Kennedy Otieno
England,2017,Alex Hales,,,,,Kerry Jeremy
England,2017,Joe Root,,,,,Keshav Maharaj
England,2017,Jason Roy,,,,,Kevin McClean
England,2017,Moeen Ali,,,,,Kevin Pietersen
England,2017,Ben Stokes,,,,,Khaled Mahmud
England,2017,David Willey,,,,,Khaled Mashud
England,2017,Jake Ball,,,,,Khushdil Shah
England,2017,Steven Finn,,,,,Kieran Powell
England,2017,Liam Plunkett,,,,,Kieron Pollard
England,2017,Adil Rashid,,,,,KL Rahul
England,2017,Mark Wood,,,,,Kuldeep Yadav
England,2025,Jos Buttler,,,,,Kumar Dharmasena
England,2025,Tom Banton,,,,,Kumar Sangakkara
England,2025,Harry Brook,,,,,Kusal Mendis
England,2025,Ben Duckett,,,,,Kusal Perera
England,2025,Joe Root,,,,,Kyle Mills
England,2025,Phil Salt,,,,,Lahiru Thirimanne
England,2025,Jamie Smith,,,,,Lakshan Sandakan
England,2025,Liam Livingstone,,,,,Lameck Onyango
England,2025,Jamie Overton,,,,,Lance Klusener
England,2025,Rehan Ahmed,,,,,Lasith Malinga
England,2025,Jofra Archer,,,,,Laurie Williams
England,2025,Gus Atkinson,,,,,Leon Romero
England,2025,Saqib Mahmood,,,,,Liam Livingstone
England,2025,Adil Rashid,,,,,Liam Plunkett
England,2025,Mark Wood,,,,,Lonwabo Tsotsobe
India,1998,Sourav Ganguly,,,,,Loots Bosman
India,1998,Sachin Tendulkar,,,,,Lou Vincent
India,1998,Mohammad Azharuddin,,,,,Luke Ronchi
India,1998,Rahul Dravid,,,,,Luke Wright
India,1998,Ajay Jadeja,,,,,Lungi Ngidi
India,1998,Robin Singh,,,,,Luuk van Troost
India,1998,Ajit Agarkar,,,,,Mahela Jayawardene
India,1998,Sunil Joshi,,,,,Mahendra Nagamootoo
India,1998,Javagal Srinath,,,,,Mahmudullah
India,1998,Nayan Mongia,,,,,Makhaya Ntini
India,1998,Anil Kumble,,,,,Malhar Patel
India,2000,Sourav Ganguly,,,,,Manjurul Islam
India,2000,Hemang Badani,,,,,Manzarul Islam
India,2000,Rahul Dravid,,,,,Marco Jansen
India,2000,Vinod Kambli,,,,,Marcus Stoinis
India,2000,Sridharan Sriram,,,,,Marcus Trescothick
India,2000,Sachin Tendulkar,,,,,Mark Alleyne
India,2000,Yuvraj Singh,,,,,Mark Bailey
India,2000,Sunil Joshi,,,,,Mark Boucher
India,2000,Robin Singh,,,,,Mark Chapman
India,2000,Ajit Agarkar,,,,,Mark Ealham
India,2000,Zaheer Khan,,,,,Mark Higgs
India,2000,Anil Kumble,,,,,Mark Johnson
India,2000,Venkatesh Prasad,,,,,Mark Vermeulen
India,2000,Vijay Dahiya,,,,,Mark Waugh
India,2002,Sourav Ganguly,,,,,Mark Wood
India,2002,VVS Laxman,,,,,Marlon Samuels
India,2002,Virender Sehwag,,,,,Marnus Labuschagne
India,2002,Dinesh Mongia,,,,,Martin Guptill
India,2002,Sachin Tendulkar,,,,,Martin Suji
India,2002,Rahul Dravid,,,,,Martin van Jaarsveld
India,2002,Javagal Srinath,,,,,Marvan Atapattu
India,2002,Yuvraj Singh,,,,,Mashrafe Mortaza
India,2002,Mohammad Kaif,,,,,Mathew Sinclair
India,2002,Anil Kumble,,,,,Matt Henry
India,2002,Harbhajan Singh,,,,,Matthew Bell
India,2002,Zaheer Khan,,,,,Matthew Hayden
India,2002,Ashish Nehra,,,,,Matthew Hoggard
India,2004,Sourav Ganguly,,,,,Matthew Wade
India,2004,Virender Sehwag,,,,,Maurice Odumbe
India,2004,VVS Laxman,,,,,Mazharul Haque
India,2004,Rohan Gavaskar,,,,,Mehidy Hasan Miraz
India,2004,Yuvraj Singh,,,,,Mehrab Hossain jnr
India,2004,Mohammad Kaif,,,,,Mervyn Dillon
India,2004,Rahul Dravid,,,,,Michael Bevan
India,2004,Dinesh Karthik,,,,,Michael Bracewell
India,2004,Harbhajan Singh,,,,,Michael Clarke
India,2004,Irfan Pathan,,,,,Michael Hussey
India,2004,Ajit Agarkar,,,,,Michael Kasprowicz
India,2004,Ashish Nehra,,,,,Michael Vaughan
India,2006,Dinesh Mongia,,,,,Michael Yardy
India,2006,Virender Sehwag,,,,,Mike Rindel
India,2006,Sachin Tendulkar,,,,,Misbah-ul-Haq
India,2006,Irfan Pathan,,,,,Mitchell Johnson
India,2006,Rahul Dravid,,,,,Mitchell Marsh
India,2006,Mohammad Kaif,,,,,Mitchell McClenaghan
India,2006,Yuvraj Singh,,,,,Mitchell Santner
India,2006,Sreesanth,,,,,Mitchell Starc
India,2006,RP Singh,,,,,Mluleki Nkala
India,2006,MS Dhoni,,,,,Moeen Ali
India,2006,Suresh Raina,,,,,Mohammad Amir
India,2006,Harbhajan Singh,,,,,Mohammad Ashraful
India,2006,Ajit Agarkar,,,,,Mohammad Asif
India,2006,Ramesh Powar,,,,,Mohammad Azharuddin
India,2006,Munaf Patel,,,,,Mohammad Hafeez
India,2009,MS Dhoni,,,,,Mohammad Hasnain
India,2009,Rahul Dravid,,,,,Mohammad Irfan
India,2009,Gautam Gambhir,,,,,Mohammad Kaif
India,2009,Dinesh Karthik,,,,,Mohammad Rafique
India,2009,Virat Kohli,,,,,Mohammad Rizwan
India,2009,Suresh Raina,,,,,Mohammad Sami
India,2009,Sachin Tendulkar,,,,,Mohammad Sheikh
India,2009,Abhishek Nayar,,,,,Mohammad Yousuf
India,2009,Yusuf Pathan,,,,,Mohammed Nabi
India,2009,Harbhajan Singh,,,,,Mohammed Shami
India,2009,Praveen Kumar,,,,,Moin Khan
India,2009,Amit Mishra,,,,,Moises Henriques
India,2009,Ashish Nehra,,,,,Morne Morkel
India,2009,Ishant Sharma,,,,,Morris Ouma
India,2009,RP Singh,,,,,Mosaddek Hossain
India,2013,MS Dhoni,,,,,MS Dhoni
India,2013,Shikhar Dhawan,,,,,Munaf Patel
India,2013,Dinesh Karthik,,,,,Murali Vijay
India,2013,Virat Kohli,,,,,Murray Goodwin
India,2013,Suresh Raina,,,,,Mushfiqur Rahim
India,2013,Rohit Sharma,,,,,Mushfiqur Rahman
India,2013,Murali Vijay,,,,,Mustafizur Rahman
India,2013,Ravichandran Ashwin,,,,,Muthiah Muralidaran
India,2013,Ravindra Jadeja,,,,,Nafees Iqbal
India,2013,Irfan Pathan,,,,,Nahid Rana
India,2013,Bhuvneshwar Kumar,,,,,Naimur Rahman
India,2013,Amit Mishra,,,,,Najmul Hossain Shanto
India,2013,Ishant Sharma,,,,,Nangeyalia Kharote
India,2013,Vinay Kumar,,,,,Naseem Shah
India,2013,Umesh Yadav,,,,,Nasir Jamshed
India,2017,Virat Kohli,,,,,Nasir Javed
India,2017,Shikhar Dhawan,,,,,Nasser Hussain
India,2017,MS Dhoni,,,,,Nasum Ahmed
India,2017,Dinesh Karthik,,,,,Nathan Astle
India,2017,Ajinkya Rahane,,,,,Nathan Bracken
India,2017,Rohit Sharma,,,,,Nathan Coulter-Nile
India,2017,Yuvraj Singh,,,,,Nathan Ellis
India,2017,Ravichandran Ashwin,,,,,Nathan Hauritz
India,2017,Ravindra Jadeja,,,,,Nathan McCullum
India,2017,Kedar Jadhav,,,,,Nathan Smith
India,2017,Hardik Pandya,,,,,Naved-ul-Hasan
India,2017,Jasprit Bumrah,,,,,Naveed Zadran
India,2017,Bhuvneshwar Kumar,,,,,Nayan Mongia
India,2017,Mohammed Shami,,,,,Nazmul Hossain
India,2017,Umesh Yadav,,,,,Neil Broom
India,2025,Rohit Sharma,,,,,Neil Fairbrother
India,2025,Shubman Gill,,,,,Neil Johnson
India,2025,Shreyas Iyer,,,,,Neil McKenzie
India,2025,Virat Kohli,,,,,Nick Knight
India,2025,Rishabh Pant,,,,,Nicky Boje
India,2025,KL Rahul,,,,,Nikita Miller
India,2025,Ravindra Jadeja,,,,,Niroshan Dickwella
India,2025,Hardik Pandya,,,,,Nixon McLean
India,2025,Axar Patel,,,,,Noor Ahmad
India,2025,Washington Sundar,,,,,Nuwan Kulasekara
India,2025,Arshdeep Singh,,,,,Nuwan Pradeep
India,2025,Harshit Rana,,,,,Nuwan Zoysa
India,2025,Kuldeep Yadav,,,,,Owais Shah
India,2025,Mohammed Shami,,,,,Parvez Hossain Emon
India,2025,Varun Chakravarthy,,,,,Pat Cummins
Kenya,2000,Hitesh Modi,,,,,Pat Symcox
Kenya,2000,Kennedy Otieno,,,,,Paul Collingwood
Kenya,2000,Ravi Shah,,,,,Paul Grayson
Kenya,2000,Maurice Odumbe,,,,,Paul Hitchcock
Kenya,2000,Thomas Odoyo,,,,,Paul Strang
Kenya,2000,Tony Suji,,,,,Paul Wiseman
Kenya,2000,Steve Tikolo,,,,,Pedro Collins
Kenya,2000,Jimmy Kamande,,,,,Peter Fulton
Kenya,2000,Peter Ongondo,,,,,Peter Martin
Kenya,2000,Lameck Onyango,,,,,Peter Ongondo
Kenya,2000,Martin Suji,,,,,Peter Siddle
Kenya,2000,Josephat Ababu,,,,,Phil Salt
Kenya,2000,Mohammad Sheikh,,,,,Phil Simmons
Kenya,2002,Kennedy Otieno,,,,,Phillip Hughes
Kenya,2002,Ravi Shah,,,,,Philo Wallace
Kenya,2002,Brijal Patel,,,,,Piet Rinke
Kenya,2002,Steve Tikolo,,,,,Pommie Mbangwa
Kenya,2002,Maurice Odumbe,,,,,Pramodya Wickramasinghe
Kenya,2002,Thomas Odoyo,,,,,Praveen Kumar
Kenya,2002,David Obuya,,,,,Prosper Utseya
Kenya,2002,Collins Obuya,,,,,Pulasthi Gunaratne
